,"evaluateSplit","sumOfWeights","entrySet","e","i","dist","sum","m_weight","gini","postDist","getValue","size","SplitMetric","org.emftext.language.java.types.impl.DoubleImpl@2e2ca1df","arg0","get","totalWeight","distWeights","frac"
"evaluateSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sumOfWeights",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"entrySet",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
"dist",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"m_weight",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"gini",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"postDist",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
"getValue",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
"SplitMetric",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@2e2ca1df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"totalWeight",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"distWeights",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"frac",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
