,"add","variables","getVariables","containsKey","var","StringVariable","getVariable","put","hasVariable","initializer","getInitializer","RuntimeException","BooleanVariable","arg1","arg0","get","name","variable","DoubleVariable","keySet"
"add",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"variables",0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,1
"getVariables",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"containsKey",0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"var",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
"StringVariable",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getVariable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"put",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hasVariable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"initializer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getInitializer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BooleanVariable",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,1,0,0,0,0,0,10,1,0,19,0,0,0,1,0
"variable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DoubleVariable",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"keySet",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
