,org/jhotdraw/app/AbstractApplication.java,org/jhotdraw/app/AbstractProject.java,org/jhotdraw/app/Application.java,org/jhotdraw/app/DefaultApplicationModel.java,org/jhotdraw/app/DefaultOSXApplication.java,org/jhotdraw/app/DefaultSDIApplication.java,org/jhotdraw/beans/AbstractBean.java,org/jhotdraw/draw/AbstractDrawing.java,org/jhotdraw/draw/action/AbstractViewAction.java,org/jhotdraw/draw/action/JPopupButton.java,org/jhotdraw/draw/action/PaletteMenuItemUI.java,org/jhotdraw/draw/action/SwingWorker.java,org/jhotdraw/draw/action/ToolBarButtonFactory.java,org/jhotdraw/draw/action/VerticalGridLayout.java,org/jhotdraw/draw/action/ZoomAction.java,org/jhotdraw/draw/AttributeKey.java,org/jhotdraw/draw/AttributeKeys.java,org/jhotdraw/draw/Constrainer.java,org/jhotdraw/draw/DefaultDrawingEditor.java,org/jhotdraw/draw/DefaultDrawing.java,org/jhotdraw/draw/DefaultDrawingView.java,org/jhotdraw/draw/DrawingEditor.java,org/jhotdraw/draw/DrawingEvent.java,org/jhotdraw/draw/Drawing.java,org/jhotdraw/draw/DrawingListener.java,org/jhotdraw/draw/DrawingView.java,org/jhotdraw/draw/Figure.java,org/jhotdraw/draw/FigureLayerComparator.java,org/jhotdraw/draw/FigureSelectionEvent.java,org/jhotdraw/draw/FigureSelectionListener.java,org/jhotdraw/draw/GridConstrainer.java,org/jhotdraw/draw/HandleEvent.java,org/jhotdraw/draw/Handle.java,org/jhotdraw/draw/Options.java,org/jhotdraw/draw/Tool.java,org/jhotdraw/geom/Dimension2DDouble.java,org/jhotdraw/geom/Insets2DDouble.java,org/jhotdraw/gui/datatransfer/CompositeTransferable.java,org/jhotdraw/gui/PlacardScrollPaneLayout.java,org/jhotdraw/samples/draw/DrawApplet.java,org/jhotdraw/samples/draw/DrawApplicationModel.java,org/jhotdraw/samples/draw/DrawFigureFactory.java,org/jhotdraw/samples/draw/DrawingPanel.java,org/jhotdraw/samples/draw/DrawProject.java,org/jhotdraw/samples/draw/Main.java,org/jhotdraw/samples/net/Main.java,org/jhotdraw/samples/net/NetApplet.java,org/jhotdraw/samples/net/NetApplicationModel.java,org/jhotdraw/samples/net/NetFactory.java,org/jhotdraw/samples/net/NetProject.java,org/jhotdraw/samples/pert/Main.java,org/jhotdraw/samples/pert/PertApplet.java,org/jhotdraw/samples/pert/PertApplicationModel.java,org/jhotdraw/samples/pert/PertFactory.java,org/jhotdraw/samples/pert/PertProject.java,org/jhotdraw/undo/CompositeEdit.java,org/jhotdraw/undo/UndoRedoManager.java,org/jhotdraw/util/LocaleUtil.java,org/jhotdraw/util/ResourceBundleUtil.java,org/jhotdraw/util/ReversedList.java,org/jhotdraw/xml/DefaultDOMFactory.java,org/jhotdraw/xml/DOMFactory.java,org/jhotdraw/xml/DOMInput.java,org/jhotdraw/xml/DOMOutput.java,org/jhotdraw/xml/DOMStorable.java,org/jhotdraw/xml/NanoXMLLiteDOMInput.java,org/jhotdraw/xml/NanoXMLLiteDOMOutput.java,org/jhotdraw/xml/XMLTransferable.java
1,1,2,1,1,1,1,3,3,4,5,5,6,2,5,4,7,7,2,8,9,10,2,10,10,3,8,9,9,10,10,8,10,10,10,10,10,11,12,2,6,13,7,13,2,1,1,6,13,14,2,1,6,13,14,2,3,2,15,15,10,14,16,11,11,16,16,16,12
2,1,2,1,1,1,1,3,3,4,5,5,6,2,5,4,7,7,2,8,9,10,2,10,10,3,8,9,9,10,10,8,10,10,10,11,10,12,13,2,6,11,7,11,2,1,1,6,11,14,2,1,6,11,14,2,3,2,15,15,10,14,16,12,16,12,16,16,13
3,1,1,1,1,1,1,2,2,3,4,4,5,3,6,3,7,7,3,8,9,10,3,10,10,10,8,9,10,10,10,8,10,10,10,3,6,6,11,3,5,3,7,3,3,1,1,5,3,12,3,1,5,3,12,3,2,2,13,13,10,12,14,14,14,14,14,14,11
4,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,7,12,12,9
5,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,10,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,7,12,12,9
6,1,2,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,3,2,11,11,3,10,12,12,12,7,12,12,9
7,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,7,12,12,9
8,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,12,12,12,9
9,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,6,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,6,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,7,12,12,9
10,1,1,1,1,1,1,2,3,2,4,4,2,5,6,5,7,7,2,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,8,2,8,5,7,5,2,1,1,8,5,9,2,1,8,5,9,2,2,2,10,10,3,9,11,11,11,9,11,11,8
11,1,1,1,1,1,1,2,3,2,4,4,5,6,7,6,8,8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,9,7,5,6,8,6,2,1,1,5,6,10,2,1,5,6,10,2,2,2,11,11,3,10,12,12,12,10,12,12,9
